game_pk,game_date,season,away_team,game_start,start_hour,home_runs_scored,away_runs_scored,total_runs,home_runs_hit,strikeouts,walks,hits,total_pitches,avg_exit_velocity,n_barrels,n_bbe,barrel_rate,hr_h_ratio,home_bat_hr,home_bat_k,home_bat_bb,home_bat_h,home_bat_pitches,home_bat_exit_velo,home_bat_bbe,home_bat_hr_h_ratio,away_bat_hr,away_bat_k,away_bat_bb,away_bat_h,away_bat_pitches,away_bat_exit_velo,away_bat_bbe,away_bat_hr_h_ratio,temp_f,temp_c,rhum,pres,prcp,wspd,wspd_mph,wdir,wind_dir_bucket,wind_cf,wind_lcf,wind_rcf
446923,2016-04-08,2016,SD,2016-04-08 14:10:00,14,6,13,19,4,15,11,27,367,85.2,5,64,0.0781,0.1481,2.0,8.0,6.0,9.0,173.0,88.2,43.0,0.2222,2.0,7.0,5.0,18.0,194.0,83.0,59.0,0.1111,61.5,16.4,29.0,846.5,0.0,4.6,2.9,81.0,E,-0.72,0.88,-2.25
446938,2016-04-09,2016,SD,2016-04-09 18:10:00,18,3,16,19,4,19,9,27,322,86.5,5,61,0.082,0.1481,0.0,11.0,3.0,8.0,140.0,84.6,32.0,0.0,4.0,8.0,6.0,19.0,182.0,87.8,47.0,0.2105,59.1,15.0,47.7,833.6,0.0,6.8,4.2,207.3,SW,6.01,4.59,6.71
446953,2016-04-10,2016,SD,2016-04-10 14:10:00,14,6,3,9,5,10,5,17,254,84.1,4,56,0.0714,0.2941,5.0,3.0,3.0,9.0,120.0,85.9,36.0,0.5556,0.0,7.0,1.0,8.0,134.0,82.3,37.0,0.0,63.3,17.4,31.0,836.5,0.0,5.6,3.5,47.8,NE,-3.76,-2.11,-4.95
446979,2016-04-12,2016,SF,2016-04-12 18:40:00,18,2,7,9,3,10,3,20,259,85.0,1,61,0.0164,0.15,0.0,6.0,2.0,7.0,128.0,87.9,38.0,0.0,3.0,4.0,1.0,13.0,131.0,82.8,50.0,0.2308,58.6,14.8,48.3,843.0,0.7,4.4,2.7,215.8,SW,3.54,2.45,4.2
446994,2016-04-13,2016,SF,2016-04-13 18:40:00,18,10,6,16,3,13,7,25,285,83.9,4,61,0.0656,0.12,2.0,8.0,3.0,18.0,159.0,85.1,48.0,0.1111,1.0,5.0,3.0,7.0,126.0,82.5,39.0,0.1429,61.9,16.6,38.0,840.3,0.0,10.3,6.4,191.7,S,10.09,8.77,10.19
447006,2016-04-14,2016,SF,2016-04-14 13:10:00,13,11,6,17,2,16,6,22,326,79.9,4,58,0.069,0.0909,1.0,9.0,3.0,13.0,168.0,82.1,42.0,0.0769,1.0,7.0,2.0,9.0,158.0,77.7,40.0,0.1111,71.8,22.1,21.0,835.5,0.0,16.1,10.0,189.3,S,15.85,14.01,15.79
447107,2016-04-22,2016,LAD,2016-04-22 18:40:00,18,7,5,12,4,19,7,17,288,81.8,5,47,0.1064,0.2353,2.0,5.0,3.0,9.0,143.0,78.7,42.0,0.2222,2.0,14.0,4.0,8.0,145.0,86.5,28.0,0.25,65.4,18.6,38.7,838.8,0.0,4.3,2.7,201.1,S,4.01,3.24,4.3
447122,2016-04-23,2016,LAD,2016-04-23 18:10:00,18,1,4,5,1,19,4,16,315,80.3,2,51,0.0392,0.0625,0.0,11.0,1.0,6.0,145.0,78.7,37.0,0.0,1.0,8.0,3.0,10.0,170.0,81.7,43.0,0.1,63.9,17.7,29.0,831.4,0.0,14.3,8.9,242.6,SW,6.59,1.84,10.54
447137,2016-04-24,2016,LAD,2016-04-24 14:10:00,14,10,12,22,1,15,19,22,342,83.8,3,61,0.0492,0.0455,0.0,9.0,8.0,11.0,171.0,82.5,43.0,0.0,1.0,6.0,10.0,11.0,171.0,85.2,44.0,0.0909,62.5,17.0,26.0,832.2,0.0,16.8,10.4,290.7,W,-5.93,-10.95,-0.2
447158,2016-04-25,2016,PIT,2016-04-25 18:40:00,18,1,6,7,1,14,5,18,296,83.1,1,57,0.0175,0.0556,0.0,9.0,3.0,9.0,153.0,83.0,37.0,0.0,1.0,5.0,2.0,9.0,143.0,83.2,38.0,0.1111,63.6,17.6,28.0,828.7,0.0,16.0,9.9,146.6,SE,13.34,15.53,9.53
